Date,Field_Site,Nest_ID,Scientific_Name,Common_Name,DBH_Class,Tally
01/06/2023,Stoneycroft,N26C14STNY2,Parthenocissus_quinquefolia,Virginia_creeper,lessthan1,3
01/06/2023,Stoneycroft,N26C14STNY2,Prunus_virginiana,Common_chokecherry,5_7,1
01/06/2023,Stoneycroft,N47R28STNY3,NA,NA,NA,0
16/06/2023,Stoneycroft,N25R12STNY1,NA,NA,NA,0
05/07/2023,Stoneycroft,N76YW12STNY8,Prunus_pensylvanica,Pincherry,1_3,1
05/07/2023,Stoneycroft,N76YW12STNY8,Prunus_pensylvanica,Pincherry,lessthan1,1
05/07/2023,Stoneycroft,N76YW12STNY8,Crataegus_chrysocarpa,Fireberry_hawthorn,1_3,4
05/07/2023,Stoneycroft,N76YW12STNY8,Crataegus_chrysocarpa,Fireberry_hawthorn,lessthan1,6
05/07/2023,Stoneycroft,N93YW20STNY13,Rhamnus_cathartica,Common_buckthorn,lessthan1,7
05/07/2023,Stoneycroft,N93YW20STNY13,Rhamnus_cathartica,Common_buckthorn,1_3,4
11/07/2023,Stoneycroft,N60GC4STNY5,Crataegus_coccinea,Scarlet_hawthorn,3_5,1
11/07/2023,Stoneycroft,N60GC4STNY5,Crataegus_coccinea,Scarlet_hawthorn,1_3,6
11/07/2023,Stoneycroft,N60GC4STNY5,Crataegus_coccinea,Scarlet_hawthorn,lessthan1,1
11/07/2023,Stoneycroft,N89C24STNY9,Crataegus_coccinea,Scarlet_hawthorn,lessthan1,1
11/07/2023,Stoneycroft,N89C24STNY9,Rhamnus_cathartica,Common_buckthorn,1_3,2
11/07/2023,Stoneycroft,N89C24STNY9,Crataegus_coccinea,Scarlet_hawthorn,1_3,3
11/07/2023,Stoneycroft,N89C24STNY9,Rhamnus_cathartica,Common_buckthorn,lessthan1,1
12/07/2023,Stoneycroft,N68R35STNY6,Dead_vine,Dead_vine,lessthan1,1
12/07/2023,Stoneycroft,N91YW18STNY11,NA,NA,NA,0
12/07/2023,Stoneycroft,N75YW11STNY7,NA,NA,NA,0
12/07/2023,Stoneycroft,N96YW22STNY14,NA,NA,NA,0
12/07/2023,Stoneycroft,N97YW23STNY15,Acer_saccharum,Sugar_maple,1_3,1
12/07/2023,Stoneycroft,N97YW23STNY15,Rhamnus_cathartica,Common_buckthorn,lessthan1,1
12/07/2023,Stoneycroft,N97YW23STNY15,Rhamnus_cathartica,Common_buckthorn,1_3,1
12/07/2023,Stoneycroft,N97YW23STNY15,Acer_saccharum,Sugar_maple,3_5,1
12/07/2023,Stoneycroft,N92YW19STNY12,NA,NA,NA,0
12/07/2023,Stoneycroft,N90C25STNY10,NA,NA,NA,0
12/06/2023,Technoparc,N2C1TECH1,Rhamus_cathartica,Common_buckthorn,1_3,1
12/06/2023,Technoparc,N2C1TECH1,Populus_tremuloides,Quaking_aspen,lessthan1,1
12/06/2023,Technoparc,N2C1TECH1,Populus_tremuloides,Quaking_aspen,1_3,1
12/06/2023,Technoparc,N2C1TECH1,Dead_vine,Dead_vine,1_3,2
12/06/2023,Technoparc,N27R13TECH16,Dead_vine,Dead_vine,lessthan1,100
12/06/2023,Technoparc,N50C20TECH26,Dead_standing,Dead_standing,1_3,1
12/06/2023,Technoparc,N50C20TECH26,Cornus_sericea,Red_osier_dogwood,lessthan1,1
12/06/2023,Technoparc,N50C20TECH26,Lonicera_tatarica,Tatarian_honeysuckle,lessthan1,7
12/06/2023,Technoparc,N50C20TECH26,Lonicera_tatarica,Tatarian_honeysuckle,1_3,1
12/06/2023,Technoparc,N38R20TECH20,NA,NA,NA,0
12/06/2023,Technoparc,N13R9TECH8,NA,NA,NA,0
19/06/2023,Technoparc,N8R6TECH5,Cornus_sericea,Red_osier_dogwood,lessthan1,1
19/06/2023,Technoparc,N9R7TECH6,Dead_vine,Dead_vine,1_3,1
19/06/2023,Technoparc,N9R7TECH6,Dead_standing,Deadstanding,1_3,1
22/06/2023,Technoparc,N16C6TECH11,Vitis_riparia,Riverbank_grapevine,1_3,1
04/07/2023,Technoparc,N62YW4TECH29,Rhamnus_cathartica,Common_buckthorn,1_3,5
04/07/2023,Technoparc,N69YW7TECH34,Physocarpus_opulifolius,Common_ninebark,1_3,3
04/07/2023,Technoparc,N69YW7TECH34,Physocarpus_opulifolius,Common_ninebark,lessthan1,2
06/07/2023,Technoparc,N41R23TECH23,Dead_vine,Dead_vine,lessthan1,3
06/07/2023,Technoparc,N41R23TECH23,Salix_petiolaris,Meadow_willow,1_3,1
06/07/2023,Technoparc,N41R23TECH23,Salix_petiolaris,Meadow_willow,lessthan1,3
06/07/2023,Technoparc,N42R24TECH24,NA,NA,NA,0
06/07/2023,Technoparc,N71YW9TECH36,Lonicera_tatarica,Tatarian_honeysuckle,lessthan1,6
06/07/2023,Technoparc,N71YW9TECH36,Lonicera_tatarica,Tatarian_honeysuckle,1_3,1
06/07/2023,Technoparc,N43R25TECH25,NA,NA,NA,0
10/07/2023,Technoparc,N43R25TECH25,Rhamnus_cathartica,Common_buckthorn,1_3,1
10/07/2023,Technoparc,N43R25TECH25,Lonicera_tatarica,Tatarian_honeysuckle,3_5,1
10/07/2023,Technoparc,N43R25TECH25,Dead_standing,Dead_standing,3_5,1
10/07/2023,Technoparc,N43R25TECH25,Rhamnus_cathartica,Common_buckthorn,3_5,1
10/07/2023,Technoparc,N64R33TECH31,Rhamnus_cathartica,Common_buckthorn,1_3,1
10/07/2023,Technoparc,N64R33TECH31,Lonicera_tatarica,Tatarian_honeysuckle,3_5,1
10/07/2023,Technoparc,N64R33TECH31,Dead_standing,Dead_standing,3_5,1
10/07/2023,Technoparc,N64R33TECH31,Rhamnus_cathartica,Common_buckthorn,3_5,1
14/07/2023,Technoparc,N5R3TECH2,Rhamnus_cathartica,Common_buckthorn,lessthan1,2
14/07/2023,Technoparc,N5R3TECH2,Rhamnus_cathartica,Common_buckthorn,1_3,1
14/07/2023,Technoparc,N5R3TECH2,Rhamnus_cathartica,Common_buckthorn,3_5,2
14/07/2023,Technoparc,N20R11TECH15,Rhamnus_cathartica,Common_buckthorn,lessthan1,2
14/07/2023,Technoparc,N20R11TECH15,Rhamnus_cathartica,Common_buckthorn,1_3,6
14/07/2023,Technoparc,N29R15TECH18,Salix_bebbiana,Bebb_willow,lessthan1,2
14/07/2023,Technoparc,N29R15TECH18,Salix_bebbiana,Bebb_willow,3_5,2
14/07/2023,Technoparc,N30R16TECH19,Salix_bebbiana,Bebb_willow,lessthan1,4
14/07/2023,Technoparc,N39R21TECH21,Rhamnus_cathartica,Common_buckthorn,1_3,1
14/07/2023,Technoparc,N39R21TECH21,Rhamnus_cathartica,Common_buckthorn,3_5,3
14/07/2023,Technoparc,N7R5TECH4,Salix_bebbiana,Bebb_willow,1_3,3
