OBJECTID,Type,Lien,Nom,NUM_INDEX,SUPERFICIE,PROPRIETE,GESTION,COMPETENCE,TYPO1,TYPO2
1,,,Université Concordia - Campus Loyola,1807-004,5.054930290035682,Institutionnel,Autre,Privé,Autre espace vert,Espace sportif
2,Av.,du,Boisé,1641-513,0.03236372202509561,Ville de Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,Arrondissement,Espace voirie,Îlot de voirie
3,Parc,,Maurice-Cullen,0137-000,0.542680858347123,Ville de Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,Arrondissement,Parc d'arrondissement,Parc de quartier
4,,,Décarie / Zone Tampon #2,1641-637,0.03351004521482887,Ville de Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,Arrondissement,Autre espace vert,Parc écran
5,,,Décarie / Zone Tampon #2,1641-637,0.014241730874920712,Ville de Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,Arrondissement,Autre espace vert,Parc écran
6,Parc,,Trenholme,0158-000,4.711486713378978,Ville de Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,Arrondissement,Parc d'arrondissement,Parc de quartier
7,,,"Sherbrooke / Décarie, Autoroute",1641-635,0.0668472287347385,Ville de Montréal,Côte-des-Neiges-Notre-Dame-de-Grâce,Arrondissement,Parc d'arrondissement,Place publique
8,Parc,,Prudence-Heward,1029-000,0.1952060247783952,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Parc de voisinage
9,Parc,,Pilon,2552-000,3.5132006875360933,Ville de Montréal,Montréal-Nord,Arrondissement,Parc d'arrondissement,Parc de quartier
10,Parc,,Primeau,2553-000,1.2039324424813882,Ville de Montréal,Montréal-Nord,Arrondissement,Parc d'arrondissement,Parc de quartier
11,Parc,,Victor-T.-Daubigny,0573-000,0.02899041081253019,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Îlot de verdure
12,,,,,0.03718490619875322,,,,En cours de validation,
13,,,,,0.03152715603566721,,,,En cours de validation,
14,,,,,0.006507399049958804,Ville de Montréal,Montréal-Nord,Arrondissement,Espace voirie,Îlot de voirie
15,,,,,0.002185364650332255,,,,En cours de validation,
16,,,,,0.027615267999924507,,,,En cours de validation,
17,,,,,0.012821369599760926,,,,En cours de validation,
18,Parc,,Carlos-d'Alcantara,1267-000,4.019092661943322,Ville de Montréal,Mercier-Hochelaga-Maisonneuve,Arrondissement,Parc d'arrondissement,Parc de quartier
19,Parc,,Yuile,2701-000,6.8760869955025266,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de quartier
20,Parc,de l',Héritage-Équestre,2723-000,0.35609655178604865,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de quartier
21,,,Pierre-Elliott-Trudeau,2727-000,0.4724666411449382,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de voisinage
22,,,Plage de l'Est,1274-000,1.6081260626440803,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Bande riveraine
23,Parc,,Paquin,2688-000,0.8218875856142872,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de voisinage
24,,,Mairie d'arrondissement (Pierrefonds-Roxboro),2730-009,0.5743170072530904,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de voisinage
25,,,Riverdale,2693-000,7.584156131562571,Commission scolaire,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc école
26,,des,Coopérants,2719-000,0.37669691634982916,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de voisinage
27,,,Émilio-Iacurto,1156-000,0.28869423604754474,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Parc de quartier
28,,,,,0.012163578999770665,,,,En cours de validation,
29,,,,,0.041508144118153754,,,,En cours de validation,
30,,,,,0.018495132500834493,,,,En cours de validation,
31,,,,,0.017140992656326424,,,,En cours de validation,
32,,,,,0.011988466099844206,,,,En cours de validation,
33,Parc,,Sainte-Suzanne,2729-000,0.14972584141698522,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de voisinage
34,,,P.A.Q. Ontario No 31,0559-000,0.09968190794605458,Ville de Montréal,Ville-Marie,Arrondissement,Autre espace vert,Espace vert
35,Parc,de la ,Rive-Boisé,2662-000,2.139445113557302,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de quartier
36,,des,Rivières,2666-000,0.09440008475465991,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de voisinage
37,Parc,des,Muguets,2665-000,0.715978637187429,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de voisinage
38,,,Saint-Charles,2696-000,1.2421942668346952,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de quartier
39,Parc,,Aragon,2653-000,1.4729312945136597,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de quartier
40,Ruelle,,René-Huguet,,0.31254678570323635,Ville de Montréal,Lachine,Arrondissement,Espace voirie,Ruelle verte
41,,,Antoine-Bazinet,1641-059,0.014376021750042288,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Espace voirie,Îlot de voirie
42,Square,,Victoria,0266-000,0.2058112715962502,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Place publique
43,,,,,0.06472260939507497,,,,En cours de validation,
44,,,,,0.09101125805031834,,,,En cours de validation,
45,,,Centre Sportif Côte-des-Neiges,0139-001,1.2073311505544326,Institutionnel,Côte-des-Neiges-Notre-Dame-de-Grâce,Local,Autre espace vert,Espace sportif
46,,,Bassin de la Brunante,2791-000,3.1006270565038028,Ville de Montréal,Saint-Laurent,Arrondissement,Parc d'arrondissement,Parc de quartier
47,,,"Rosemont/Viau, Nord-Ouest",1017-000,0.027772441550044494,Ville de Montréal,Rosemont-La Petite-Patrie,Arrondissement,Parc d'arrondissement,Îlot de verdure
48,Square,,Magellan,2824-000,0.23782466170526442,Ville de Montréal,Saint-Laurent,Arrondissement,Parc d'arrondissement,Square
49,Parc,du,Bois-Franc,3814-000,10.8375215007494,Ville de Montréal,Saint-Laurent,Arrondissement,Parc d'arrondissement,Parc de quartier
50,Parc,,Isaac-Abrabanel,2809-000,0.05518430447669416,Ville de Montréal,Saint-Laurent,Arrondissement,Parc d'arrondissement,Îlot de verdure
51,Parc,,Beaulac,2793-000,1.0886042904164912,Ville de Montréal,Saint-Laurent,Arrondissement,Parc d'arrondissement,Parc de quartier
52,Square,,Vivaldi,2829-000,0.24073154244797793,Ville de Montréal,Saint-Laurent,Arrondissement,Parc d'arrondissement,Square
53,Parc,,Painter,2815-000,1.8314207226146377,Ville de Montréal,Saint-Laurent,Arrondissement,Parc d'arrondissement,Parc de quartier
54,Parc,de,Roxboro,2710-000,1.2792707955132734,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de quartier
55,Parc,d',Estérel - Boisé,2661-000,0.5467681897526829,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Îlot de verdure
56,Parc,des,Pins,0694-000,0.8796488485334207,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Parc de quartier
57,,,Robert-Peary,3796-000,0.1441428092660473,Ville de Montréal,Saint-Laurent,Arrondissement,Parc d'arrondissement,Square
58,,,Pointe-à-Callière,1806-002,0.10363535255557013,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Place publique
59,,,Joseph-Lamarche,1641-817,0.10412623535234777,Ville de Montréal,Ahuntsic-Cartierville,Arrondissement,Espace voirie,Îlot de voirie
60,,de la,Jetée Mackay,1082-000,2.8943134266407555,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Parc linéaire
61,,,Côte-des-Neiges / Docteur Penfield,1641-223,0.01120963199979307,Ville de Montréal,Ville-Marie,Arrondissement,Espace voirie,Îlot de voirie
62,,,Boulevard Robert-Bourassa,,0.5550800493765218,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Parc linéaire
63,Espace,,Faubourg Québec,1117-001,0.250547402971269,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Parc de quartier
64,,,École Pierre-Dupuy,1860-026,0.811451977457857,Commission scolaire,Ville-Marie,Arrondissement,Parc d'arrondissement,Parc école
65,Promenade,de la ,Commune,1806-117,1.1138190816560096,Institutionnel,Autre,Privé,Autre espace vert,Espace institutionnel
66,Parc,,Victor-T.-Daubigny,0573-000,0.05070232628110473,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Îlot de verdure
67,,,Bonaventure / de la Commune,0314-001,0.03967490688126351,Ville de Montréal,Ville-Marie,Arrondissement,Espace voirie,Îlot de voirie
68,,des,Patriotes,0381-000,0.4235869730526406,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Place publique
69,,,Victor-Hugo,1030-002,0.07592789522260118,Ville de Montréal,Ville-Marie,Arrondissement,Espace voirie,Îlot de voirie
70,Place,,Bolhé,1641-460,0.0295313363513692,Ville de Montréal,Ahuntsic-Cartierville,Arrondissement,Espace voirie,Îlot de voirie
71,Parc,,Georges-Gauthier,1025-000,0.6114386104132105,Ville de Montréal,Ahuntsic-Cartierville,Arrondissement,Parc d'arrondissement,Parc de voisinage
72,Parc,de,Dieppe,1257-000,4.246279080670811,Ville de Montréal,Ville-Marie,Municipale,Grand parc,Parc urbain
73,Parc,,Louise-Deschênes,2705-000,0.7283720842383374,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de voisinage
74,Parc,,Cérès,2657-000,0.04041209753749375,Ville de Montréal,Pierrefonds-Roxboro,Arrondissement,Parc d'arrondissement,Parc de quartier
75,,,Sainte-Catherine / Champlain,1218-000,0.03508437170187613,Ville de Montréal,Ville-Marie,Arrondissement,Autre espace vert,Espace vacant
76,,,Bout-De-L'ile,0714-000,1.805663747147092,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Parc de quartier
77,Marina,d',Escale,2414-000,1.019217260079115,Ville de Montréal,Lachine,Arrondissement,Parc d'arrondissement,Parc de quartier
78,Parc,,Delphis-Delorme,0715-000,0.7024946916098408,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Parc de quartier
