Date,Transect_ID,Gentry_Transect_Number,Scientific_Name,Common_Name,DBH,Comments
01/08/2023,TECH_S1,1,NA,Dead_standing,0.229,
01/08/2023,TECH_S1,1,Populus_tremuloides,Trembling_aspen,0.38,
01/08/2023,TECH_S1,1,Betula_papyrifera,White_birch,0.075,
01/08/2023,TECH_S1,1,Betula_papyrifera,White_birch,0.193,
01/08/2023,TECH_S1,1,Betula_papyrifera,White_birch,0.123,
01/08/2023,TECH_S1,1,Fraxinus_pennsylvanica,Green_ash,0.077,
01/08/2023,TECH_S1,1,Fraxinus_pennsylvanica,Green_ash,0.067,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.095,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.146,
01/08/2023,TECH_S1,1,Fraxinus_pennsylvanica,Green_ash,0.075,
01/08/2023,TECH_S1,1,Rhamnus_cathartica,Common_buckthorn,0.062,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.064,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.3045,
01/08/2023,TECH_S1,1,Rhamnus_cathartica,Common_buckthorn,0.069,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.085,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.276,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.098,
01/08/2023,TECH_S1,1,Rhamnus_cathartica,Common_buckthorn,0.068,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.054,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.068,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.062,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.051,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.151,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.116,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.095,
01/08/2023,TECH_S1,1,Rhamnus_cathartica,Common_buckthorn,0.066,
01/08/2023,TECH_S1,1,Rhamnus_cathartica,Common_buckthorn,0.051,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.061,
01/08/2023,TECH_S1,1,NA,Dead_standing,0.094,
01/08/2023,TECH_S1,2,Rhamnus_cathartica,Common_buckthorn,0.095,
01/08/2023,TECH_S1,2,Rhamnus_cathartica,Common_buckthorn,0.075,
01/08/2023,TECH_S1,2,NA,Dead_standing,0.059,
01/08/2023,TECH_S1,2,NA,Dead_standing,0.12,
01/08/2023,TECH_S1,2,Rhamnus_cathartica,Common_buckthorn,0.085,
01/08/2023,TECH_S1,2,NA,Dead_standing,0.118,
01/08/2023,TECH_S1,2,Rhamnus_cathartica,Common_buckthorn,0.135,
01/08/2023,TECH_S1,2,NA,Dead_standing,0.07,
01/08/2023,TECH_S1,2,Rhamnus_cathartica,Common_buckthorn,0.086,
01/08/2023,TECH_S1,2,NA,Dead_standing,0.107,
01/08/2023,TECH_S1,2,Rhamnus_cathartica,Common_buckthorn,0.185,
01/08/2023,TECH_S1,2,NA,Dead_standing,0.063,
01/08/2023,TECH_S1,2,Rhamnus_cathartica,Common_buckthorn,0.0876,Multistemmed
01/08/2023,TECH_S1,2,Populus_deltoides,Eastern_cottonwood,0.171,
01/08/2023,TECH_S1,2,Populus_deltoides,Eastern_cottonwood,0.28,
