Date,Time,Weather,Field_Site,SmallorLarge,NestID,Species,Latitude,Longitude,Stage ,Predators,PredatorType,DistancetoTrail,Success,Fail_or_Success_Date
02/05/2023,1048,12,Technopark,Large,N2C1TECH1,cardinal,45.47609483,-73.75990146,Building ,Y,Crow,30,N,14/05/2023
03/05/2023,0815,6,BoisdeLiesse,Small,N3C2BDL1,cardinal ,45.50488113,-73.76811272,NA,Y,Crow_Squirrel,10,N,25/05/2023
05/05/2023,0712,6,Technopark,Large,N5R3TECH2,robin,45.4712607,-73.76003376,NA,N,NA,50,N,17/05/2023
05/05/2023,0816,8,Technopark,Large,N6R4TECH3,robin,45.46935853,-73.76318741,Nestling ,N,NA,13,N,08/06/2023
05/05/2023,0830,8,Technopark,Large,N7R5TECH4,robin,45.46938265,-73.76260225,NA,N,NA,40,N,24/05/2023
05/05/2023,1241,14,Technopark,Large,N8R6TECH5,robin,45.47809273,-73.7566072,NA,N,NA,6,N,17/05/2023
05/052023,1305,14,Technopark,Large,N9R7TECH6,robin,45.47809273,-73.7566072,Egg,N,NA,0.55,N,17/05/2023
06/05/2023,1032,16,BoisdeLiesse,Small,N10R8BDL2,robin,45.50488113,-73.76811272,Egg,Y,Squirrel,0.0176,N,12/05/2023
06/05/2023,1045,17,BoisdeLiesse,Small,N11C3BDL3,cardinal,45.50488113,-73.76811272,Building ,N,NA,10,N,12/05/2023
08/05/2023,0635,10,Technopark,Large,N12C4TECH7,cardinal,45.47616545,-73.76046391,NA,N,NA,NA,N,30/05/2023
08/05/2023,0650,10,Technopark,Large,N13R9TECH8,robin,45.47669015,-73.75955728,Building ,N,NA,10,N,11/05/2023
08/05/2023,0906,10,Technopark,Small,N15R10TECH10,robin,45.47708903,-73.75932081,SUCCESS,N,NA,NA,Y,20/05/2023
08/05/2023,0934,12,Technopark,Small,N16C6TECH11,cardinal,45.47662231,-73.75547063,Nestling ,N,NA,1.5,N,17/05/2023
08/05/2023,1020,12,Technopark,Large,N17C7TECH12,cardinal,45.47453894,-73.75709428,Egg,N,NA,NA,N,17/05/2023
08/05/2023,1049,13,Technopark,Large,N18C8TECH13,cardinal,45.47453894,-73.75709428,Egg,N,NA,10,N,05/06/2023
08/05/2023,1322,17,Technopark,Large,N20R11TECH15,robin,45.47825868,-73.7621777,Egg,N,NA,20,N,11/05/2023
09/05/2023,0915,11,BoisdeLiesse,Large,N21C10BDL4,cardinal,45.5053082,-73.76967675,SUCCESS,Y,BlueJay,2.14,Y,06/06/2023
09/05/2023,0936,11,BoisdeLiesse,Large,N22C11BDL5,cardinal,45.50665842,-73.77026276,Egg,Y,BlueJay,0.92,N,12/05/2023
