Date,ID,Scientific_Name,Common_Name,DBH_Class,Tally,Comments
25/07/2023,STNY_L2_G2_1,NA,NA,NA,0,
25/07/2023,STNY_L2_G2_3,Rhamnus_cathartica,Common_buckthorn,lessthan_1,18,
25/07/2023,STNY_L2_G2_3,Dead_vine,Dead_vine,1_3,1,
25/07/2023,STNY_L2_G2_3,Dead_vine,Dead_vine,lessthan_1,10,
25/07/2023,STNY_L2_G2_3,Dead_vine,Dead_vine,3_5,1,
25/07/2023,STNY_L2_G2_3,Dead_standing,Dead_standing,1_3,2,
25/07/2023,STNY_L2_G2_3,Rhamnus_cathartica,Common_buckthorn,3_5,4,
25/07/2023,STNY_L2_G2_2,Rhamnus_cathartica,Common_buckthorn,lessthan_1,6,
25/07/2023,STNY_L2_G2_2,Ulmus_americana,American_elm,lessthan_1,1,
25/07/2023,STNY_L2_G2_2,Rhamnus_cathartica,Common_buckthorn,1_3,2,
25/07/2023,STNY_L2_G3_1,NA,NA,NA,0,
25/07/2023,STNY_L2_G3_2,NA,NA,NA,0,
25/07/2023,STNY_L2_G3_3,Vitis_riparia,Riverbank_grapevine,lessthan_1,morethan_50,
25/07/2023,STNY_L2_G3_3,Rhamnus_cathartica,Common_buckthorn,1_3,2,
25/07/2023,STNY_L2_G4_3,Fraxinus_pennsylvanica,Green_ash,lessthan_1,7,
25/07/2023,STNY_L2_G4_3,Acer_saccharum,Sugar_maple,lessthan_1,2,
25/07/2023,STNY_L2_G4_3,Vitis_riparia,Riverbank_grapevine,1_3,2,
25/07/2023,STNY_L2_G4_3,Rhamnus_cathartica,Common_buckthorn,lessthan_1,4,
25/07/2023,STNY_L2_G4_3,Vitis_riparia,Riverbank_grapevine,3_5,1,
25/07/2023,STNY_L2_G4_3,Dead_standing,Dead_standing,lessthan_1,1,
25/07/2023,STNY_L2_G4_3,Rhamnus_cathartica,Common_buckthorn,1_3,1,
25/07/2023,STNY_L2_G4_2,Ostrya_virginiana,Ironwood,lessthan_1,1,
25/07/2023,STNY_L2_G4_2,Sambucus_racemosa,Red_elder_berry,1_3,1,
25/07/2023,STNY_L2_G4_2,Rhamnus_cathartica,Common_buckthorn,1_3,1,
25/07/2023,STNY_L2_G4_2,Fraxinus_pennsylvanica,Green_ash,1_3,1,
25/07/2023,STNY_L2_G4_2,Fraxinus_pennsylvanica,Green_ash,lessthan_1,2,
25/07/2023,STNY_L2_G4_2,Dead_standing,Dead_standing,lessthan_1,1,
25/07/2023,STNY_L2_G4_1,Rhamnus_cathartica,Common_buckthorn,1_3,2,
25/07/2023,STNY_L2_G4_1,Crataegus_chrysocarpa,Fireberry_hawthorn,lessthan_1,1,
25/07/2023,STNY_L2_G4_1,Fraxinus_pennsylvanica,Green_ash,lessthan_1,2,
25/07/2023,STNY_L2_G4_1,Dead_standing,Dead_standing,3_5,1,
25/07/2023,STNY_L2_G4_1,Rhamnus_cathartica,Common_buckthorn,lessthan_1,23,
25/07/2023,STNY_S1_G1_3,Rhamnus_cathartica,Common_buckthorn,3_5,1,
25/07/2023,STNY_S1_G1_3,Rhamnus_cathartica,Common_buckthorn,lessthan_1,3,
25/07/2023,STNY_S1_G1_3,Vitis_riparia,Riverbank_grapevine,lessthan_1,morethan_50,
25/07/2023,STNY_S1_G1_3,Acer_negundo,Manatoba_maple,1_3,1,
25/07/2023,STNY_S1_G1_3,Rhamnus_cathartica,Common_buckthorn,1_3,1,
25/07/2023,STNY_S1_G1_2,Dead_standing,Dead_standing,3_5,4,
25/07/2023,STNY_S1_G1_2,Dead_standing,Dead_standing,lessthan_1,1,
25/07/2023,STNY_S1_G1_1,Fraxinus_americana,White_ash,lessthan_1,1,
25/07/2023,STNY_S1_G2_1,NA,NA,NA,0,
25/07/2023,STNY_S1_G2_2,NA,NA,NA,0,
25/07/2023,STNY_S1_G2_3,Rhamnus_cathartica,Common_buckthorn,3_5,3,
25/07/2023,STNY_S1_G2_3,Rhamnus_cathartica,Common_buckthorn,lessthan_1,6,
25/07/2023,STNY_S1_G2_3,Vitis_riparia,Riverbank_grapevine,1_3,1,
25/07/2023,STNY_S1_G2_3,Lonicera_tatarica,Tatarian_honeysuckle,lessthan_1,4,
25/07/2023,STNY_S1_G3_3,Rhamnus_cathartica,Common_buckthorn,lessthan_1,9,
25/07/2023,STNY_S1_G3_3,Lonicera_tatarica,Tatarian_honeysuckle,lessthan_1,3,
25/07/2023,STNY_S1_G3_1,NA,NA,NA,0,
25/07/2023,STNY_S1_G3_2,Rhamnus_cathartica,Common_buckthorn,lessthan_1,2,
25/07/2023,STNY_S1_G3_2,Vitis_riparia,Green_ash,lessthan_1,3,
25/07/2023,STNY_S1_G3_2,Dead_vine,Dead_vine,3_5,1,
25/07/2023,STNY_S1_G4_1,NA,NA,NA,0,
25/07/2023,STNY_S1_G4_2,NA,NA,NA,0,
25/07/2023,STNY_S1_G4_3,Acer_saccharum,Sugar_maple,lessthan_1,1,
25/07/2023,STNY_S1_G4_3,Prunus_nigra,Canada_plum,lessthan_1,1,
26/07/2023,STNY_L1_G1_3,Rhus_typina,Staghorn_sumac,3_5,2,
26/07/2023,STNY_L1_G1_3,Rhus_typina,Staghorn_sumac,lessthan_1,2,
26/07/2023,STNY_L1_G1_3,Rhus_typina,Staghorn_sumac,1_3,3,
26/07/2023,STNY_L1_G1_3,Dead_standing,Dead_standing,lessthan_1,1,
26/07/2023,STNY_L1_G1_2,Crataegus_coccinea,Scarlet_hawthorn,lessthan_1,4,
26/07/2023,STNY_L1_G1_2,Crataegus_coccinea,Scarlet_hawthorn,1_3,3,
26/07/2023,STNY_L1_G1_2,Dead_vine,Dead_vine,3_5,2,
26/07/2023,STNY_L1_G1_2,Crataegus_coccinea,Scarlet_hawthorn,3_5,2,
26/07/2023,STNY_L1_G1_2,Rhamnus_cathartica,Common_buckthorn,lessthan_1,6,
26/07/2023,STNY_L1_G1_2,Dead_vine,Dead_vine,1_3,1,
26/07/2023,STNY_L1_G1_1,Fraxinus_pennsylvanica,Green_ash,3_5,1,
26/07/2023,STNY_L1_G1_1,Fraxinus_pennsylvanica,Green_ash,1_3,1,
26/07/2023,STNY_L1_G1_1,Cornus_sericea,Red_osier_dogwood,lessthan_1,33,
26/07/2023,STNY_L1_G1_1,Fraxinus_americana,White_ash,lessthan_1,1,
26/07/2023,STNY_L1_G2_3,Lonicera_tatarica,Tatarian_honeysuckle,lessthan_1,11,
26/07/2023,STNY_L1_G2_3,Lonicera_tatarica,Tatarian_honeysuckle,1_3,4,
26/07/2023,STNY_L1_G2_3,Vitis_riparia,Riverbank_grapevine,1_3,1,
26/07/2023,STNY_L1_G2_3,Rhamnus_cathartica,Common_buckthorn,1_3,3,
26/07/2023,STNY_L1_G2_3,Dead_standing,Dead_standing,lessthan_1,1,
26/07/2023,STNY_L1_G2_3,Rhus_typina,Staghorn_sumac,3_5,1,
