Nest_ID,site,species,date_found ,date_failed ,failure_stage,active_days,reason ,potential_predator,smallstems_ha,nest_tree_DBH,nest_tree_height,nest_height,canopy_cover,vertical_complexity,coverage,distance_to_trail,comments
N2C1TECH1,technoparc,cardinal ,02/05/2023,03/05/2023,building,6,abandonment,,15915.45709,0.053,13.63,1.32,1.296,2,4.875,1.477121255,nest was complete
N3C2BDL1,bdl,cardinal ,03/05/2023,23/05/2023,incubation,14,predation,,9549.274255,0.183,9.08,1.98,7.132,2,3.875,1,
N5R3TECH2,technoparc,robin,05/05/2023,12/05/2023,incubation,16,predation,,15915.45709,0.728,12.61,0.74,5.948,2,0,1.698970004,
N6R4TECH3,technoparc,robin,05/05/2023,28/05/2023,nestling,29,predation,,,,,,,,,1.113943352,
N7R5TECH4,technoparc,robin,05/05/2023,12/05/2023,laying ,8,predation,,22281.63993,0.086,4.13,1.01,10.099,1,5.75,1.602059991,double check this one? 
N8R6TECH5,technoparc,robin,05/05/2023,06/05/2023,incubation,16,predation,,3183.091418,0.115,11.94,0.77,0.844,2,3.375,0.77815125,
N9R7TECH6,technoparc,robin,05/05/2023,06/05/2023,incubation,10,abandonment,,6366.182837,0.114,8.71,1.37,0.465,1,3.625,-0.259637311,"Could be laying or incubation, need second opinion "
N10R8BDL2,bdl,robin,06/05/2023,06/05/2023,laying ,8,predation,terrestrial_mammalian ,22281.63993,0.095,,1.38,5.871,3,1.375,-1.754487332,"Found with cracked egg, laying or incubation???"
N11C3BDL3,bdl,cardinal ,06/05/2023,07/05/2023,building,3,abandonment,,9549.274255,,2,1.5,0.392,2,0.75,1,
N13R9TECH8,technoparc,robin,08/05/2023,09/05/2023,building,3,predation,,,0.116,8.6,1.3,0.063,1,,1,
N16C6TECH11,technoparc,cardinal ,08/05/2023,12/05/2023,nestling,26,predation,,3183.091418,,,1.24,,1,4.125,0.176091259,"Was able to age nestlings, double check? "
N17C7TECH12,technoparc,cardinal ,08/05/2023,09/05/2023,laying ,8,abandonment,,,,,,,,,,Nest found with 1 egg - could be laying or incubation
N18C8TECH13,technoparc,cardinal ,08/05/2023,02/06/2023,laying ,9,predation,,,,,,,,,1,predation or abandonment 
N20R11TECH15,technoparc,robin,08/05/2023,08/05/2023,laying ,8,predation,,25464.73135,0.031,7.79,1.12,1.542,2,2.375,1.301029996,"2 predated eggs, double check "
